name,id,lat,lon,cumulative_revenue,design_capacity,capital_cost,project_type,traffic_per_day,target_traffic_per_day,fee_effective_year
117,289,19.890544,72.942644,0,0,0,2,72652,82043,2021
318,290,19.520454,72.916883,0,0,0,2,73586,82043,2021
149,291,29.31922,76.918442,0,0,0,2,24890,23800,2021
401,292,28.944307,76.609736,0,0,0,2,24071,23800,2021
20,294,26.299831,86.630217,0,0,0,5,4063,4063,2021
241,295,14.375564,76.106875,0,0,0,6,24552,68448,2018
120,296,12.910943,79.40121,0,0,0,6,55236,72091,2020
620,298,21.050995,74.785116,0,0,0,2,42113,37000,2021
251,299,28.543853,77.115435,0,0,0,2,1921,23000,2021
601,300,15.357898,76.312781,0,0,0,2,19537,57623,2021
673,301,16.290681,75.923324,0,0,0,2,22059,57623,2021
82,302,22.015027,73.115049,0,0,0,2,105440,86186,2021
161,303,25.648846,92.047612,0,0,0,6,7057,7057,2021
654,304,10.885791,78.557668,0,0,0,2,14448,20000,2021
404,305,10.930934,78.215268,0,0,0,2,26323,35000,2021
381,306,10.624244,78.747767,0,0,0,6,14433,7579,2021
676,308,23.61615,73.254472,0,0,0,6,20182,20182,2019
299,309,23.410181,72.828618,0,0,0,6,28369,28369,2021
373,310,10.299776,78.770713,0,0,0,6,14042,5727,2021
4,311,22.975844,72.650399,0,0,0,2,53993,53993,2021
25,312,12.776883,77.777119,0,0,0,2,88986,88986,2021
476,313,13.114638,77.37463,0,0,0,2,79712,63286,2019
183,314,12.847667,77.670866,0,0,0,2,20228,20228,2021
452,315,16.292989,75.921069,0,0,0,2,21838,22145,2021
191,316,15.318834,75.139696,0,0,0,1,29566,29566,2014
463,321,15.488902,74.969857,0,0,0,1,21070,21070,2013
505,324,9.283225,79.215127,0,0,0,3,17838,22160,2013
286,326,26.567367,92.869461,0,0,0,3,12385,12385,2014
196,330,26.149881,89.811537,0,0,0,3,15902,15902,2013
39,333,25.592575,73.904897,0,0,0,0,8243,8243,2021
37,338,25.884014,74.160275,0,0,0,5,8243,8243,2021
40,339,22.620565,72.161496,0,0,0,1,36208,36208,2014
324,340,18.844713,73.094525,0,0,0,3,0,73351.6728,2014
266,341,31.898237,77.148301,0,0,0,1,1833,2291,2014
589,342,18.084885,73.462503,0,0,0,3,4796,4796,2014
189,344,21.039996,75.829168,0,0,0,1,0,73351.6728,2009
322,345,19.2121,73.006946,0,0,0,1,13400,13400,2011
441,346,18.605613,73.823404,0,0,0,1,50605,50605,2014
518,347,23.471246,77.071876,0,0,0,3,650,650,1992
115,348,18.844296,73.881986,0,0,0,1,32988,32988,2014
22,349,23.888883,80.384806,0,0,0,1,12097,28202,2012
301,350,18.493223,73.992593,0,0,0,1,47130,47130,2014
298,351,18.48286,74.234706,0,0,0,1,0,73351.6728,2014
353,352,24.550197,81.346796,0,0,0,1,10762,10762,2013
294,353,21.139568,79.675405,0,0,0,3,19770,19770,2013
657,354,21.086207,78.066995,0,0,0,3,29374,29374,2014
462,357,21.181762,74.823119,0,0,0,1,0,73351.6728,2014
60,358,26.320743,78.272518,0,0,0,0,15128,21458,2018
691,359,17.534301,75.880075,0,0,0,3,20649,20649,2014
58,360,26.683159,78.917937,0,0,0,1,15182,21458,2014
47,362,22.409684,71.015587,0,0,0,1,33328,33328,2014
521,363,17.523428,78.273342,0,0,0,1,0,73351.6728,2013
563,364,29.842349,78.19098,0,0,0,3,16129,16129,2013
458,366,21.766145,81.812198,0,0,0,3,2609,3130,2009
325,367,21.252543,81.536664,0,0,0,1,10251,11200,2014
352,368,21.204731,81.337106,0,0,0,1,3755,4795,2014
360,370,9.94307,76.318202,0,0,0,6,27176,27176,2014
9,371,8.520122,76.89465,0,0,0,6,15000,15000,2013
678,373,10.074058,76.28012,0,0,0,3,14575,14575,2012
85,374,22.792886,73.842871,0,0,0,2,17736,12909,2021
138,375,31.623756,75.640462,0,0,0,6,26601,20855,2021
131,376,16.885015,80.160654,0,0,0,2,25454,36666,2021
351,377,17.159677,79.474848,0,0,0,2,35756,36666,2021
245,379,15.323649,76.303646,0,0,0,2,31122,31122,2021
393,380,27.804002,78.087022,0,0,0,2,20735,18107,2021
62,381,27.346247,78.032201,0,0,0,2,17503,18107,2021
312,384,27.558744,80.661034,0,0,0,2,24078,16500,2021
534,385,22.413798,72.957428,0,0,0,2,18068,24000,2021
681,386,22.792571,73.533274,0,0,0,2,4227,18000,2021
446,387,13.148469,78.290548,0,0,0,2,3086,3086,2021
338,388,24.563182,88.019993,0,0,0,2,25805,30416,2021
210,389,24.150449,88.18629,0,0,0,2,18229,30416,2021
27,394,25.216966,78.464471,0,0,0,6,11122,11122,2021
148,395,26.476288,90.712054,0,0,0,6,20516,15683,2021
484,396,28.814182,78.902248,0,0,0,2,34581,30700,2021
655,397,28.480289,79.283886,0,0,0,2,24780,24780,2021
214,398,26.476592,89.756535,0,0,0,6,15533,14446,2021
190,400,22.043538,79.418722,0,0,0,6,5278,6103,2021
128,401,21.841921,78.433316,0,0,0,6,2000,1769,2021
274,402,22.377896,79.151021,0,0,0,6,4297,3858,2021
259,403,22.548497,79.600413,0,0,0,6,4029,3291,2021
150,405,26.524482,81.066094,0,0,0,6,22110,22110,2021
308,406,21.471322,78.8726,0,0,0,6,7232,5068,2021
143,408,10.81311,76.798051,0,0,0,2,25874,18031,2021
11,409,26.069752,80.163011,0,0,0,2,20242,15279,2021
319,410,25.543293,80.060095,0,0,0,2,12971,12063,2021
57,411,21.35447,83.681021,0,0,0,2,24491,22357,2021
537,412,10.010336,76.257977,0,0,0,0,16392,16392,2020
366,413,32.197881,75.533697,0,0,0,2,24266,34498,2021
692,414,31.731947,75.041365,0,0,0,2,23590,34498,2021
160,415,25.570828,85.247807,0,0,0,2,53214,53214,2021
8,416,27.50603,75.348401,0,0,0,6,19986,19986,2021
432,417,21.864457,77.961508,0,0,0,6,9684,7110,2021
316,418,21.693812,78.387824,0,0,0,6,5453,5453,2021
522,419,21.343724,79.009038,0,0,0,6,11802,12628,2021
200,420,26.551347,74.780202,0,0,0,2,53230,52370,2021
531,421,26.158466,74.371725,0,0,0,2,40672,57762,2021
194,422,21.425234,70.295437,0,0,0,6,19286,20700,2021
153,423,20.961287,70.334349,0,0,0,6,18711,20700,2021
546,424,26.245678,92.541521,0,0,0,6,18169,18169,2021
145,425,26.114657,92.875479,0,0,0,6,11871,11871,2017
475,426,26.100258,91.879125,0,0,0,6,34034,34034,2021
405,427,21.134676,73.478511,0,0,0,2,29483,37920,2021
84,428,21.190249,72.869085,0,0,0,2,27117,37920,2021
387,429,28.497746,77.629298,0,0,0,2,39635,37550,2021
618,430,28.062821,77.946047,0,0,0,2,28396,37550,2021
368,431,21.20296,81.905328,0,0,0,2,19047,19047,2019
633,432,21.229353,81.607029,0,0,0,2,48999,48999,2018
549,433,26.063535,74.05947,0,0,0,2,48999,7041,2021
255,434,25.828286,73.45492,0,0,0,2,24995,8403,2021
93,438,25.371114,73.201486,0,0,0,2,33238,10457,2021
666,439,25.033571,72.94353,0,0,0,2,34501,10439,2021
193,440,13.194218,78.545197,0,0,0,2,18105,21449,2021
690,441,21.139545,79.365105,0,0,0,2,30717,48500,2021
568,442,26.373615,85.493984,0,0,0,6,4203,4203,2021
570,443,13.525577,79.532925,0,0,0,2,9457,10483,2021
527,444,13.150776,79.834675,0,0,0,2,15866,15866,2021
490,445,20.137113,85.83902,0,0,0,2,24786,14824,2021
428,446,24.420042,76.503896,0,0,0,6,7383,12223,2021
288,447,11.012827,77.073181,0,0,0,2,43166,56740,2021
438,448,22.934663,69.801655,0,0,0,2,31349,33000,2021
182,450,16.715205,81.827876,0,0,0,2,25601,24857,2021
663,451,16.823729,81.430664,0,0,0,2,21231,24857,2021
109,452,14.979577,78.574764,0,0,0,2,17024,5084,2021
500,453,14.513518,78.79121,0,0,0,2,20261,6172,2021
496,454,25.99328,91.860491,0,0,0,6,15209,15209,2021
564,455,28.754563,76.795216,0,0,0,2,30902,34000,2021
339,456,25.17025,76.130522,0,0,0,2,18784,27551,2021
408,457,25.20385,73.814701,0,0,0,2,16845,16845,2021
477,458,25.704011,74.061836,0,0,0,2,25615,25615,2021
637,459,12.993098,74.792333,0,0,0,6,35080,35080,2021
87,460,18.205251,78.398261,0,0,0,6,17677,16472,2021
361,461,25.674873,82.32499,0,0,0,6,9645,9645,2021
486,462,26.035838,81.43825,0,0,0,6,6553,6553,2021
142,464,21.299829,82.94286,0,0,0,2,12766,23202,2021
166,465,21.226901,82.422438,0,0,0,2,14539,23202,2021
680,466,22.453254,73.070539,0,0,0,2,39993,93298,2021
545,467,22.715971,72.740887,0,0,0,6,32349,93298,2021
392,468,28.927049,76.442169,0,0,0,2,16248,27726,2021
553,469,29.100833,75.885093,0,0,0,2,29412,27726,2021
513,470,25.788339,74.338933,0,0,0,6,4024,4024,2021
572,471,25.802861,85.283461,0,0,0,6,19724,19724,2021
383,472,26.084278,74.001389,0,0,0,6,0,73351.6728,2021
0,473,27.292105,81.54465,0,0,0,6,11001,11001,2021
218,474,27.825548,81.527252,0,0,0,6,11696,11696,2021
624,475,22.607365,75.794134,0,0,0,2,35826,35826,2021
113,476,19.170738,74.074993,0,0,0,2,22000,31714,2021
246,477,19.516452,74.201583,0,0,0,2,19600,31714,2021
480,478,25.865638,71.616734,0,0,0,6,3200,3200,2021
222,479,13.47641,74.713082,0,0,0,2,0,73351.6728,2021
239,480,13.108245,74.784562,0,0,0,7,0,73351.6728,2019
639,481,12.75958,74.874087,0,0,0,7,423892,15001,2021
280,482,16.985586,78.50172,0,0,0,6,0,73351.6728,2021
349,483,16.608082,78.677722,0,0,0,6,0,73351.6728,2021
133,484,17.471578,79.980527,0,0,0,7,0,73351.6728,2021
369,485,24.822455,87.966864,0,0,0,2,856421,856421,2021
111,486,25.195872,88.182566,0,0,0,2,875568,875568,2021
394,487,26.038799,85.447437,0,0,0,2,4380,4380,2021
212,488,25.590289,85.875945,0,0,0,2,6016,6016,2021
348,489,26.537213,77.086068,0,0,0,6,0,73351.6728,2021
129,490,26.613002,77.515359,0,0,0,6,0,73351.6728,2021
547,491,27.177493,77.811532,0,0,0,6,0,73351.6728,2021
388,492,33.024637,75.252118,0,0,0,2,0,73351.6728,2021
467,493,33.174771,75.303421,0,0,0,2,0,73351.6728,2021
54,1476,27.275167,74.351659,0,0,0,6,0,73351.6728,2021
642,1477,26.870978,74.293475,0,0,0,6,0,73351.6728,2021
569,1478,25.110565,73.988241,0,0,0,2,0,73351.6728,2021
445,1479,25.274995,74.492879,0,0,0,2,0,73351.6728,2021
617,4480,29.810574,73.875389,0,0,0,6,206247,206247,2021
377,4481,28.712002,75.481566,0,0,0,2,9843,15133,2021
164,4482,28.329757,75.05592,0,0,0,2,9592,15133,2021
610,4483,27.76326,74.723371,0,0,0,2,5247,15133,2021
559,4484,14.210397,79.560418,0,0,0,6,0,73351.6728,2021
132,4485,13.788513,79.589622,0,0,0,6,0,73351.6728,2021
31,4486,16.850428,80.633633,0,0,0,6,0,73351.6728,2021
606,4489,10.158744,78.651128,0,0,0,6,0,73351.6728,2021
264,4490,26.308858,72.914295,0,0,0,6,0,73351.6728,2021
442,4491,26.570811,72.327192,0,0,0,6,0,73351.6728,2021
439,4492,26.889721,71.981819,0,0,0,6,0,73351.6728,2021
427,4493,15.412411,79.497541,0,0,0,6,0,73351.6728,2021
562,4494,15.197922,79.450868,0,0,0,6,0,73351.6728,2021
